,exemplar ENGLISH,eagle,dove,duck,magpie,pheasant,vulture,rooster,turkey,canary,chicken,cuckoo,crow,chickadee,seagull,blackbird,sparrow,stork,parrot,parakeet,peacock,pelican,penguin,heron,robin,woodpecker,ostrich,owl,falcon,swan,swallow
exemplar DUTCH,,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
eagle,arend,0,4,6,9,9,18,3,10,3,6,10,12,5,10,8,3,13,8,5,12,5,5,15,3,11,14,9,16,3,10
dove,duif,0,0,14,13,18,7,12,16,14,17,13,12,12,12,15,13,8,8,14,14,9,2,9,13,16,7,8,15,14,12
duck,eend,0,0,0,12,18,6,5,15,7,13,14,10,8,7,9,4,9,4,6,8,7,2,7,5,7,10,13,8,18,8
magpie,ekster,0,0,0,0,8,9,9,7,12,8,9,19,15,13,18,12,2,7,12,10,7,1,13,9,13,7,11,14,1,12
pheasant,fazant,0,0,0,0,0,10,10,19,6,15,12,12,9,11,14,9,16,10,10,13,13,2,12,6,10,12,9,11,6,16
vulture,gier,0,0,0,0,0,0,8,10,3,3,10,15,7,9,12,4,13,8,5,9,9,2,17,3,11,12,8,17,6,8
rooster,haan,0,0,0,0,0,0,0,13,12,19,9,12,7,10,4,8,4,13,12,15,14,1,9,10,10,7,12,13,9,6
turkey,kalkoen,0,0,0,0,0,0,0,0,7,17,14,11,9,13,10,6,12,9,6,16,10,6,13,6,10,13,10,10,7,12
canary,kanarie,0,0,0,0,0,0,0,0,0,10,5,10,16,9,12,18,4,9,20,8,5,1,10,16,13,9,10,3,3,14
chicken,kip,0,0,0,0,0,0,0,0,0,0,10,9,8,13,11,9,9,10,7,6,9,2,12,9,9,11,9,10,9,10
cuckoo,koekoek,0,0,0,0,0,0,0,0,0,0,0,13,11,11,7,10,12,12,13,11,15,2,12,11,11,9,17,12,13,13
crow,kraai,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,9,10,14,12,6,7,1,15,9,15,12,6,16,6,10
chickadee,mees,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,18,3,8,14,11,6,2,6,7,11,7,7,8,10,17
seagull,meeuw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,3,10,12,12,15,2,10,12,13,7,8,13,9,18
blackbird,merel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,9,13,14,9,1,5,18,13,6,6,11,8,13
sparrow,mus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,18,7,3,1,7,19,17,3,9,16,7,16
stork,ooievaar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,14,15,2,18,4,9,13,15,14,10,8
parrot,papegaai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17,13,2,14,11,6,10,12,9,9,9
parakeet,parkiet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,2,13,16,12,3,9,10,3,12
peacock,pauw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,12,8,9,13,12,11,12,12
pelican,pelikaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,13,12,8,10,12,7
penguin,pinguïn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,4,2
heron,reiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,14,12,13,12,10
robin,roodborstje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,6,3,9,17
woodpecker,specht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,5,13
ostrich,struisvogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,12,7
owl,uil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,12
falcon,valk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16
swan,zwaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
swallow,zwaluw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
