,exemplar ENGLISH,bra,blouse,pants,tie,shirt,hat,coat,jeans,tracksuit,dress,suit,boots,beanie,cap,pyjamas,belt,skirt,dungarees,shoes,shorts,scarf,panties,socks,sweater,top,pullover,t-shirt,mittens,bathing suit
exemplar DUTCH,,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,topje,trui,t-shirt,wanten,zwempak
bra,beha,0,15,2,5,4,1,4,5,1,5,5,2,8,1,5,5,1,1,1,1,5,18,18,5,9,1,15,1,1
blouse,bloes,0,0,1,9,16,6,5,10,2,1,15,5,1,1,2,14,5,3,1,1,1,1,1,18,15,11,15,5,5
pants,broek,0,0,0,8,10,1,9,20,19,6,10,1,1,6,18,1,15,15,1,19,1,5,15,9,11,9,5,9,1
tie,das,0,0,0,0,5,9,2,5,1,1,18,5,2,15,2,9,1,1,1,5,10,5,1,1,5,6,9,1,1
shirt,hemd,0,0,0,0,0,5,10,1,5,9,16,5,5,1,15,9,1,5,4,1,5,1,1,1,9,14,16,5,1
hat,hoed,0,0,0,0,0,0,10,10,1,5,15,5,20,20,2,16,9,9,1,9,14,5,15,2,1,1,1,10,1
coat,jas,0,0,0,0,0,0,0,5,2,2,14,1,15,5,1,5,1,9,4,2,18,2,2,11,8,6,1,14,1
jeans,jeans,0,0,0,0,0,0,0,0,4,1,10,1,9,10,2,1,15,1,1,18,2,1,1,1,5,1,1,5,1
tracksuit,jogging,0,0,0,0,0,0,0,0,0,1,1,1,9,14,11,1,1,2,15,18,14,1,14,14,17,14,16,1,14
dress,kleed,0,0,0,0,0,0,0,0,0,0,18,1,1,1,1,1,18,5,1,1,5,1,1,1,5,2,5,1,1
suit,kostuum,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,14,6,10,5,10,2,5,9,5,5,1,2,1,1
boots,laarzen,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,1,1,2,1,1,8,2,14,4,5,1,1,5,1
beanie,muts,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,5,9,1,1,14,9,1,5,1,5,4,15,20
cap,pet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4,5,1,1,14,1,2,10,1,1,11,1,1
pyjamas,pyjama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,1,14,1,1,9,2,10,8,11,1,1
belt,riem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,14,1,10,1,5,9,15,11,14,4,2
skirt,rok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,15,9,1,5,1,9,1,1,5,2
dungarees,salopet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,15,2,5,7,5,1,9,9,1
shoes,schoenen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,18,1,2,5,1,15,1
shorts,short,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,9,11,1,12,4,1
scarf,sjaal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,9,5,9,1,11,15
panties,slip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,1,1,9,6
socks,sokken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,11,1
sweater,sweater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,1,1,1
top,topje,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,14
pullover,trui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1
t-shirt,t-shirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
mittens,wanten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
bathing suit,zwempak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
