,exemplar ENGLISH,anchovy,dolphin,trout,goldfish,shark,herring,squid,cod,carp,orca,eel,piranha,plaice,flatfish,sperm whale,ray,sardine,pike,stickleback,sole,whale,salmon,swordfish
exemplar DUTCH,,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
anchovy,ansjovis,0,10,14,10,12,14,7,14,13,9,14,11,13,13,11,12,18,13,13,12,9,12,10
dolphin,dolfijn,0,0,13,8,14,11,13,13,11,15,10,10,11,12,13,11,11,11,8,13,14,12,11
trout,forel,0,0,0,11,13,16,8,15,14,12,16,12,12,13,10,14,13,16,14,15,11,17,12
goldfish,goudvis,0,0,0,0,10,12,8,13,12,11,11,8,12,11,9,9,13,11,16,11,9,11,10
shark,haai,0,0,0,0,0,9,10,13,13,15,12,14,11,10,12,12,11,13,10,12,12,12,12
herring,haring,0,0,0,0,0,0,8,14,16,11,13,11,11,15,11,14,16,14,13,14,12,15,13
squid,inktvis,0,0,0,0,0,0,0,11,10,10,11,9,11,9,12,11,10,11,11,10,13,10,10
cod,kabeljauw,0,0,0,0,0,0,0,0,14,11,12,11,13,13,10,16,13,15,12,12,11,12,11
carp,karper,0,0,0,0,0,0,0,0,0,12,12,13,13,13,11,13,16,18,13,14,11,15,9
orca,orka,0,0,0,0,0,0,0,0,0,0,11,13,12,11,14,11,11,12,11,10,17,11,16
eel,paling,0,0,0,0,0,0,0,0,0,0,0,11,13,13,10,13,12,12,11,12,9,14,10
piranha,piranha,0,0,0,0,0,0,0,0,0,0,0,0,9,12,7,11,12,15,13,11,10,15,12
plaice,pladijs,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,11,14,12,12,14,12,13,9
flatfish,platvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,11,11,12,15,12,13,13
sperm whale,potvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,11,12,17,11,14
ray,rog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,14,15,11,17,14
sardine,sardine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,15,9,13,11
pike,snoek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,13,12,11
stickleback,stekelbaars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,11,11
sole,tong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,11
whale,walvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18
salmon,zalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
swordfish,zwaardvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
