,exemplar ENGLISH,aalbes,aardbei,abrikoos,ananas,appel,banaan,bosbes,braambessen,citroen,clementine,dadels,druif,framboos,kers,kiwi,kokosnoot,limoen,lychee,mango,meloen,nectarine,papaya,passievrucht,peer,perzik,pompelmoes,pompoen,pruim,sinaasappel,vijg
exemplar DUTCH,,red currant,strawberry,apricot,pineapple,apple,banana,blueberry,blackberry,lemon,mandarine,dates,grape,raspberry,cherry,kiwi,coconut,lime,lychee,mango,melon,nectarine,papaya,passion fruit,pear,peach,grapefruit,pumpkin,plum,orange,fig
aalbes,red currant,0,14,11,10,12,10,19,17,10,10,10,16,16,18,10,9,10,12,10,10,12,10,10,10,10,10,9,14,10,10
aardbei,strawberry,0,0,10,10,10,10,14,16,10,10,10,11,17,17,10,9,10,10,10,10,11,10,10,10,10,10,9,10,10,10
abrikoos,apricot,0,0,0,11,13,10,11,10,13,17,13,11,10,12,12,11,16,10,12,13,15,14,11,11,19,1,11,16,14,13
ananas,pineapple,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,14,10,11,11,12,10,11,12,10,10,10,8,10,11,10
appel,apple,0,0,0,0,0,13,13,10,15,15,10,13,10,12,15,9,14,12,14,12,15,13,12,19,16,15,14,14,16,11
banaan,banana,0,0,0,0,0,0,10,10,10,11,10,10,10,10,10,7,10,10,10,10,10,10,10,14,11,10,8,10,10,10
bosbes,blueberry,0,0,0,0,0,0,0,17,10,10,10,13,17,16,10,9,10,10,10,10,10,10,10,10,10,10,9,16,10,10
braambessen,blackberry,0,0,0,0,0,0,0,0,10,10,10,12,19,15,10,9,10,10,10,10,10,10,10,10,10,10,10,12,10,10
citroen,lemon,0,0,0,0,0,0,0,0,0,18,10,10,10,10,10,10,19,10,14,12,12,10,12,10,12,18,11,12,18,11
clementine,mandarine,0,0,0,0,0,0,0,0,0,0,12,11,10,10,10,8,12,11,11,12,13,12,10,11,5,16,9,13,18,12
dadels,dates,0,0,0,0,0,0,0,0,0,0,0,11,10,10,13,12,10,12,11,10,13,13,10,13,11,10,10,15,10,19
druif,grape,0,0,0,0,0,0,0,0,0,0,0,0,10,18,13,9,10,17,12,12,10,10,10,10,12,11,9,14,12,11
framboos,raspberry,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,9,10,12,10,10,10,10,10,10,12,10,8,10,10,10
kers,cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,10,10,11,10,11,10,11,10,10,10,9,15,10,10
kiwi,kiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,11,13,10,10,10,14,14,11,10,9,12,10,14
kokosnoot,coconut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,9,10,10,9,11,9,11,9,9,9,10,12
limoen,lime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,13,12,14,10,10,11,17,11,12,17,15
lychee,lychee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,12,14,10,11,10,10,10,10,15
mango,mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,18,14,11,15,10,12,13,13,10
meloen,melon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10,10,12,16,18,10,12,10
nectarine,nectarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,10,19,14,13,17,15,12
papaya,papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,14,17,11,12,12,12
passievrucht,passion fruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,10,10,13,10,16
peer,pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,12,12,12,12
perzik,peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,16,16,13
pompelmoes,grapefruit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,19,10
pompoen,pumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,10
pruim,plum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14
sinaasappel,orange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
vijg,fig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
