,exemplar ENGLISH,can opener,plate,toaster,bottle,stove,fridge,glass,towel,kettle,whisk,percolator,bowl,spoon,knife,microwave oven,mixer,nutcracker,place mat,oven,pan,pot,grater,scissors,apron,spatula,mug,teaspoon,colander,fork,electric kettle,scales,wok,sieve
exemplar DUTCH,,blikopener,bord,broodrooster,fles,fornuis,frigo,glas,handdoek,ketel,klopper,koffiezet,kom,lepel,mes,microgolf,mixer,notenkraker,onderlegger,oven,pan,pot,rasp,schaar,schort,spatel,tas,theelepel,vergiet,vork,waterkoker,weegschaal,wok,zeef
blikopener,can opener,0,6,15,9,7,7,6,6,8,16,5,5,14,6,4,8,9,6,8,7,6,8,15,3,7,6,12,7,10,8,6,9,16
bord,plate,0,0,4,10,4,7,5,4,11,10,5,15,9,15,5,14,4,3,15,6,14,4,5,7,2,8,13,7,7,5,10,14,15
broodrooster,toaster,0,0,0,4,13,2,5,7,15,6,17,1,5,4,17,18,2,8,14,9,5,5,2,5,9,5,4,5,4,13,3,10,4
fles,bottle,0,0,0,0,4,4,18,14,5,7,5,9,6,5,5,8,6,4,6,4,8,9,5,4,9,5,6,6,4,7,4,3,2
fornuis,stove,0,0,0,0,0,16,6,3,18,6,15,3,4,4,17,9,9,6,10,14,8,6,17,3,6,3,6,2,5,11,5,16,4
frigo,fridge,0,0,0,0,0,0,8,13,4,5,17,14,5,4,8,17,6,5,5,2,1,6,8,2,5,5,8,9,4,6,8,6,2
glas,glass,0,0,0,0,0,0,0,6,3,9,4,18,3,4,17,6,4,4,7,18,8,6,7,8,6,17,5,1,5,10,7,8,2
handdoek,towel,0,0,0,0,0,0,0,0,15,3,7,9,7,5,5,5,7,4,6,9,4,8,10,7,6,8,2,13,9,6,2,2,4
ketel,kettle,0,0,0,0,0,0,0,0,0,8,18,5,4,5,17,5,1,6,11,17,18,10,3,5,5,8,5,5,3,5,4,13,8
klopper,whisk,0,0,0,0,0,0,0,0,0,0,6,16,16,3,8,17,10,9,6,8,7,16,16,12,18,7,5,9,18,5,3,8,18
koffiezet,percolator,0,0,0,0,0,0,0,0,0,0,0,5,5,9,8,18,3,4,2,3,4,2,8,4,4,1,5,7,3,18,4,16,6
kom,bowl,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,8,8,13,7,4,18,2,5,8,6,5,5,12,6,1,15,18,3
lepel,spoon,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,4,4,4,7,8,4,8,18,3,4,5,20,10,7,8,5,5,9
mes,knife,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,4,10,7,7,3,16,6,16,3,4,9,18,7,5,6,7
microgolf,microwave oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,18,5,5,3,8,1,2,6,8,2,14,4,15,10,4
mixer,mixer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,7,1,6,8,16,4,16,13,5,8,3,4,2,4
notenkraker,nutcracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,4,4,7,8,5,4,14,7,5,8,5,5,9
onderlegger,place mat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14,4,4,10,14,1,2,4,6,7,2,1,5
oven,oven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,4,8,8,6,7,4,7,18,2,16,4
pan,pan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,1,6,3,8,7,6,10,17,2,19,3
pot,pot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,7,5,4,8,5,6,9,8,12
rasp,grater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,16,5,7,4,17,9,5,8,16
schaar,scissors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,6,9,16,5,3,6,4
schort,apron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,5,6,5,9,5,2
spatel,spatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,4,16,1,8,9,7
tas,mug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,8,6,7,8
theelepel,teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,10,5,8
vergiet,colander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,19
vork,fork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,14,4
waterkoker,electric kettle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,9
weegschaal,scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
wok,wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
zeef,sieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
