,exemplar ENGLISH,monkey,beaver,bison,dromedary,squirrel,hedgehog,donkey,giraffe,hamster,deer,dog,polar bear,kangaroo,cat,cow,rabbit,llama,lion,mouse,rhinoceros,hippopotamus,elephant,horse,sheep,tiger,pig,bat,fox,wolf,zebra
exemplar DUTCH,,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,monkey,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,2,3,3,3
bever,beaver,0,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
bizon,bison,0,0,0,3,3,3,5,3,3,6,3,3,3,3,12,3,5,4,3,6,5,5,4,4,3,3,2,4,4,4
dromedaris,dromedary,0,0,0,0,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,4,3,3,5,2,3,3,3,3,2,3
eekhoorn,squirrel,0,0,0,0,0,3,3,3,6,3,3,3,4,3,3,3,3,3,6,3,3,3,3,3,3,2,4,3,3,3
egel,hedgehog,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
ezel,donkey,0,0,0,0,0,0,0,4,3,5,3,3,3,3,8,3,7,4,3,6,4,4,16,5,3,3,3,3,4,15
giraf,giraffe,0,0,0,0,0,0,0,0,3,4,4,3,3,3,4,3,4,4,3,4,4,4,5,3,3,3,3,2,3,4
hamster,hamster,0,0,0,0,0,0,0,0,0,3,3,2,3,3,3,3,3,3,13,3,3,3,2,3,3,4,2,3,3,3
hert,deer,0,0,0,0,0,0,0,0,0,0,4,3,3,3,6,3,5,4,3,5,4,4,6,5,3,4,3,4,3,5
hond,dog,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,3,3,8,3,4,4,3,4,4,10,4,3,10,15,3
ijsbeer,polar bear,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
kangoeroe,kangaroo,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,2,3,3,3,3,3,3,3,3,3,2,3,3
kat,cat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,4,2,3,3,3,3,8,4,4,7,5,3
koe,cow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,5,4,4,6,3,4,3,3,3,4,6
konijn,rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,3,3,3,3,3,3,3
lama,llama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,3,6,3,3,4,3,4,4,6
leeuw,lion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,4,4,15,4,3,4,9,3
muis,mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,4,3,3,3,4,4,3
neushoorn,rhinoceros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,3,3,3,3,3,4,6
nijlpaard,hippopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,3,2,3,3,4
olifant,elephant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,3,4
paard,horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,4,4,16
schaap,sheep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,4,4,4
tijger,tiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3
varken,pig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,4
vleermuis,bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
vos,fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
wolf,wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zebra,zebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
