,exemplar ENGLISH,accordion,banjo,bass guitar,cello,cymbals,double bass,bagpipe,drum set,flute,bassoon,flute,guitar,harp,clarinet,harpsichord,harmonica,organ,pan flute,piano,saxophone,synthesizer,tambourine,triangle,trombone,drum,trumpet,violin
exemplar DUTCH,,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
accordion,accordeon,0,11,8,8,8,11,12,9,8,8,8,8,8,7,10,11,9,9,7,9,7,10,11,8,7,8,10
banjo,banjo,0,0,15,8,7,10,6,7,7,7,7,15,13,7,8,8,8,8,8,9,6,10,7,10,11,8,12
bass guitar,basgitaar,0,0,0,8,10,9,7,6,8,7,7,17,7,9,7,10,8,6,9,8,11,7,8,10,6,9,11
cello,cello,0,0,0,0,6,14,8,9,7,8,8,13,13,7,10,11,9,9,12,8,8,7,6,7,8,12,12
cymbals,cimbalen,0,0,0,0,0,7,6,15,7,7,8,7,8,9,8,7,7,7,6,13,8,9,14,6,7,9,9
double bass,contrabas,0,0,0,0,0,0,6,7,8,6,7,11,8,7,10,8,7,8,8,8,8,7,6,8,8,8,10
bagpipe,doedelzak,0,0,0,0,0,0,0,7,9,15,13,8,6,8,11,10,7,7,7,9,9,7,5,7,8,11,8
drum set,drumstel,0,0,0,0,0,0,0,0,9,8,7,10,7,9,7,7,7,7,9,6,7,11,7,12,15,7,8
flute,dwarsfluit,0,0,0,0,0,0,0,0,0,12,18,8,6,14,8,10,9,16,10,12,6,7,9,14,7,12,8
bassoon,fagot,0,0,0,0,0,0,0,0,0,0,15,8,7,14,7,9,7,11,8,13,7,7,8,12,8,13,9
flute,fluit,0,0,0,0,0,0,0,0,0,0,0,8,9,16,8,13,9,13,10,13,8,9,9,11,9,13,12
guitar,gitaar,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,9,8,6,7,10,7,8,8,8,10,7,12
harp,harp,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,9,8,8,12,11,8,6,8,10,7,7,9
clarinet,klarinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,8,14,7,14,9,7,11,11,7,13,8
harpsichord,klavecimbel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,9,14,9,4,8,7,7,9,10,8
harmonica,mondharmonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,8,9,7,8,14,7,7,12,7
organ,orgel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,7,16,8,10,7,7,6,7
pan flute,panfluit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,9,11,11,8,11,7
piano,piano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,7,8,8,7,8,7
saxophone,saxofoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,6,12,10,15,8
synthesizer,synthesizer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,8,7
tambourine,tamboerijn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,8,11,8
triangle,triangel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,6,8
trombone,trombone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,13
drum,trommel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
trumpet,trompet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
violin,viool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
