,exemplar ENGLISH,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
exemplar DUTCH,,actor,lawyer,pharmacist,archaeologist,architect,baker,accountant,fireman,veterinarian,manager,doctor,information scientist,physiotherapist,cook,teacher,plumber,stallholder,minister,educator,pilot,police officer,postman,psychologist,judge,secretary,butcher,stewardess,dentist,garbage collector,shop-assistant
acteur,actor,0,13,4,7,6,5,4,2,4,10,6,4,5,10,6,4,7,13,9,7,4,4,7,7,7,4,11,4,5,7
advocaat,lawyer,0,0,7,5,4,8,6,4,6,7,13,14,7,4,14,8,3,11,4,2,4,4,8,18,7,4,6,7,4,4
apotheker,pharmacist,0,0,0,4,5,10,8,4,13,9,13,4,15,5,8,6,4,4,9,4,4,6,5,6,8,8,4,17,4,1
archeoloog,archaeologist,0,0,0,0,13,5,7,2,4,7,4,7,4,6,6,8,4,5,9,2,5,5,12,4,4,4,4,2,7,6
architect,architect,0,0,0,0,0,12,12,6,9,12,7,6,5,4,4,9,5,9,6,2,4,4,4,5,7,6,4,6,4,3
bakker,baker,0,0,0,0,0,0,2,4,2,6,2,8,4,13,2,7,6,4,7,4,4,6,4,3,4,14,7,4,4,12
boekhouder,accountant,0,0,0,0,0,0,0,4,7,11,7,12,8,4,8,3,5,13,6,8,5,16,5,12,14,6,7,2,4,9
brandweerman,fireman,0,0,0,0,0,0,0,0,4,3,9,3,5,6,7,3,2,5,5,8,15,4,6,7,7,6,8,8,8,12
dierenarts,veterinarian,0,0,0,0,0,0,0,0,0,4,17,4,9,4,4,4,7,1,5,4,2,7,8,7,4,11,2,7,4,4
directeur,manager,0,0,0,0,0,0,0,0,0,0,8,9,11,7,15,2,2,13,11,9,4,5,8,7,14,1,6,2,4,3
dokter,doctor,0,0,0,0,0,0,0,0,0,0,0,4,17,15,9,8,7,5,6,4,4,5,11,10,2,4,4,17,5,6
informaticus,information scientist,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,8,4,4,8,6,3,8,4,3,7,6,4,5,7,5
kinesist,physiotherapist,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,4,4,7,5,8,4,12,4,2,7,7,11,8,3
kok,cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,6,4,4,4,11,4,2,4,12,8,7,4,4
leraar,teacher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,12,4,5,7,14,8,11,6,10,7,4,3
loodgieter,plumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,6,4,3,7,4,5,8,4,7,4,4
marktkramer,stallholder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,7,5,4,3,3,9,12,3,5,16
minister,minister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,4,1,9,3,2,7,4,5,5
opvoedster,educator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,8,16,2,8,4,3,6,4,7
piloot,pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,4,4,2,17,4,6,4
politieagent,police officer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,2,2,5,5,4,5
postbode,postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,5,3,4,7
psycholoog,psychologist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,8,6,4,3
rechter,judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,4,8,6
secretaresse,secretary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3,4,11
slager,butcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,9
stewardess,stewardess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
tandarts,dentist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
vuilnisman,garbage collector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
winkelbediende,shop-assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
