,exemplar ENGLISH,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
exemplar DUTCH,,badminton,ballet,baseball,basketball,billiards,boxing,golfing,handball,running,ice hockey,judo,shot-put,horseback riding,rugby,chess,fencing,skiing,sport fishing,squash,surfing,table tennis,tennis,gymnastics,long jump,soccer,volleyball,walking,cycling,sailing,swimming
badminton,badminton,0,1,14,1,2,1,3,4,1,4,1,2,1,2,4,6,1,1,15,1,11,13,3,1,4,12,2,1,1,1
ballet,ballet,0,0,2,4,1,13,2,4,2,11,6,1,2,6,2,4,3,1,4,2,3,5,16,6,5,2,3,1,1,5
baseball,baseball,0,0,0,5,2,4,2,3,5,4,1,13,1,10,1,3,1,1,12,1,3,6,5,4,3,4,2,1,1,1
basketbal,basketball,0,0,0,0,1,5,2,10,8,7,1,8,1,2,1,1,1,1,3,1,1,5,5,2,5,5,3,1,1,1
biljarten,billiards,0,0,0,0,0,1,3,2,1,2,1,3,1,1,2,2,1,1,3,2,3,2,1,1,1,2,1,1,1,1
boksen,boxing,0,0,0,0,0,0,1,2,4,4,9,5,1,9,2,13,1,1,2,1,6,6,12,3,2,2,4,1,1,1
golf,golfing,0,0,0,0,0,0,0,2,3,7,1,4,1,1,3,2,2,1,10,1,4,2,2,1,3,2,16,1,1,1
handbal,handball,0,0,0,0,0,0,0,0,4,5,2,9,1,11,1,1,1,1,3,1,6,5,4,2,12,4,2,3,1,1
hardlopen,running,0,0,0,0,0,0,0,0,0,4,2,2,6,6,1,2,2,1,2,2,1,5,7,4,5,4,15,5,1,2
ijshockey,ice hockey,0,0,0,0,0,0,0,0,0,0,4,1,1,8,1,5,5,2,2,1,3,9,5,2,7,3,4,1,1,3
judo,judo,0,0,0,0,0,0,0,0,0,0,0,1,1,12,1,12,1,1,1,1,1,2,14,4,2,2,2,1,1,1
kogelstoten,shot-put,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,1,3,1,1,1,2,4,2,2,3,2,2,1,1
paardrijden,horseback riding,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,1,1,1,1,1,1,4,1,1,6,5,3,1
rugby,rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,1,2,4,9,1,3,7,4,1,1,1
schaken,chess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1
schermen,fencing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,8,10,6,1,1,2,5,1,1,1
skiën,skiing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,11,2,1,1,5,2,1,3
sportvissen,sport fishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,2,1,10,2
squash,squash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,17,5,2,1,3,4,1,1,1
surfen,surfing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1,1,1,14,1
tafeltennis,table tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,3,5,2,1,2,1
tennis,tennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,14,2,1,2,1
turnen,gymnastics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,6,2,1,5
verspringen,long jump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2
voetbal,soccer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,1,1
volleybal,volleyball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2
wandelen,walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
wielrennen,cycling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
zeilen,sailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
zwemmen,swimming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
