,exemplar ENGLISH,car,boat,motorbike,moped,bus,truck,delivery van,caravan,submarine,bicycle,go-cart,helicopter,hovercraft,jeep,cart,carriage,(hot air) balloon,subway train,motorbike,rocket,skateboard,sled,scooter,taxi,tractor,tram,train,airplane,truck,Zeppelin
exemplar DUTCH,,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
car,auto,0,5,8,9,7,10,8,8,3,7,11,7,9,19,9,10,7,5,12,2,8,3,5,15,9,5,7,3,8,5
boat,boot,0,0,3,7,10,3,6,9,11,5,8,2,13,10,3,5,8,3,4,3,3,4,8,5,9,5,11,3,5,10
scooter,bromfiets,0,0,0,18,9,7,9,8,3,16,12,4,4,9,4,3,8,5,18,2,10,4,9,5,5,9,6,5,5,5
motorbike,brommer,0,0,0,0,5,9,9,6,1,15,9,4,6,5,7,9,2,2,18,3,6,7,9,9,12,8,7,4,3,5
bus,bus,0,0,0,0,0,10,12,10,3,7,8,5,4,6,8,11,8,9,6,8,5,4,7,10,8,12,9,8,12,7
truck,camion,0,0,0,0,0,0,12,6,4,4,5,9,6,5,4,5,5,3,5,3,5,6,5,3,9,7,10,8,20,5
van,camionette,0,0,0,0,0,0,0,9,3,9,10,4,3,10,10,9,5,4,7,3,6,3,4,8,9,8,8,3,10,8
trailer,caravan,0,0,0,0,0,0,0,0,6,5,2,4,6,7,10,5,2,4,3,8,8,6,6,8,8,3,8,4,8,5
submarine,duikboot,0,0,0,0,0,0,0,0,0,8,3,7,8,5,8,5,5,8,2,9,2,4,5,3,7,3,9,2,7,9
bicycle,fiets,0,0,0,0,0,0,0,0,0,0,5,5,5,8,8,10,3,3,10,3,8,7,9,8,3,5,9,4,5,3
go-cart,gocart,0,0,0,0,0,0,0,0,0,0,0,5,4,9,5,7,7,3,6,2,5,10,7,8,8,5,3,4,3,9
helicopter,helikopter,0,0,0,0,0,0,0,0,0,0,0,0,5,9,8,6,10,9,7,7,3,5,3,5,4,4,4,14,5,7
hovercraft,hovercraft,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,2,5,4,2,4,3,8,6,8,7,8,2,6
jeep,jeep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,3,10,8,8,3,3,14,6,5,7,3,10,6
cart,kar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,5,5,4,4,11,9,9,5,5,8,4,8,2
carriage,koets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,2,8,11,6,10,3,7,6,8,3,5
(hot air) balloon,luchtballon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,4,4,7,3,3,6,4,12,4,15
subway train,metrostel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,3,9,5,10,11,8,4,5
motorbike,moto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,8,9,6,5,2,8,9,8
rocket,raket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,2,5,2,4,9,6,9
skateboard,skateboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,7,5,5,3,4,4,5
sled,slede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,9,7,6,8,3,3
kick scooter,step,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,9,2,3,2,7
taxi,taxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,4,10,4
tractor,tractor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,9,4
tram,tram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,7,5
train,trein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7
airplane,vliegtuig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
truck,vrachtwagen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Zeppelin,zeppelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
