,exemplar ENGLISH,bazooka,axe,knuckle dusters,bow,dagger,rifle,grenade,canon,catapult,club,machinegun,pistol,shield,spear,stick,tank,rope,double-barrelled shot gun,sword,whip
exemplar DUTCH,,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,bazooka,0,3,3,3,5,14,14,10,8,1,14,14,3,3,4,13,3,12,2,2
bijl,axe,0,0,2,5,2,3,2,2,2,13,4,1,1,12,10,1,2,3,14,1
boksbeugel,knuckle dusters,0,0,0,4,2,1,4,2,3,5,4,4,1,1,2,1,2,5,3,6
boog,bow,0,0,0,0,3,3,5,2,16,3,2,2,2,3,3,6,2,8,3,12
dolk,dagger,0,0,0,0,0,2,2,3,3,2,2,4,1,15,4,1,1,1,4,2
geweer,rifle,0,0,0,0,0,0,3,13,8,4,15,16,2,2,2,10,6,14,4,3
granaat,grenade,0,0,0,0,0,0,0,16,3,3,5,5,2,2,2,1,3,8,4,3
kanon,canon,0,0,0,0,0,0,0,0,3,1,7,16,4,1,5,5,1,1,2,2
katapult,slingshot,0,0,0,0,0,0,0,0,0,1,3,3,3,3,11,2,12,4,2,12
knuppel,club,0,0,0,0,0,0,0,0,0,0,6,2,3,12,18,1,3,5,15,10
mitrailleur,machine gun,0,0,0,0,0,0,0,0,0,0,0,12,2,2,1,10,2,13,3,2
pistool,pistol,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,10,3,5,2,3
schild,shield,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,4,2,14,3
speer,spear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,3,4,11,4
stok,stick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12,14,12
tank,tank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,3
touw,rope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,19
tweeloop,double barreled shotgun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
zwaard,sword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
zweep,whip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
