,phenomenon_number,phenomenon_name,phenomenon_type,arg1_premise1,arg1_premise2,arg1_premise3,arg1_conclusion,arg2_premise1,arg2_premise2,arg2_premise3,arg2_conclusion
0,1,Premise Typicality,General,lizard,,,reptile,blindworm,,,reptile
1,1,Premise Typicality,General,snake,,,reptile,blindworm,,,reptile
2,1,Premise Typicality,General,lizard,,,reptile,gecko,,,reptile
3,1,Premise Typicality,General,snake,,,reptile,gecko,,,reptile
4,1,Premise Typicality,General,alligator,,,reptile,blindworm,,,reptile
5,1,Premise Typicality,General,boa,,,reptile,blindworm,,,reptile
6,1,Premise Typicality,General,alligator,,,reptile,gecko,,,reptile
7,1,Premise Typicality,General,swallow,,,bird,penguin,,,bird
8,1,Premise Typicality,General,python,,,reptile,blindworm,,,reptile
9,1,Premise Typicality,General,crocodile,,,reptile,blindworm,,,reptile
10,1,Premise Typicality,General,woodpecker,,,bird,penguin,,,bird
11,1,Premise Typicality,General,cuckoo,,,bird,penguin,,,bird
12,1,Premise Typicality,General,chicken,,,bird,penguin,,,bird
13,1,Premise Typicality,General,seagull,,,bird,penguin,,,bird
14,1,Premise Typicality,General,crow,,,bird,penguin,,,bird
15,1,Premise Typicality,General,cobra,,,reptile,blindworm,,,reptile
16,1,Premise Typicality,General,iguana,,,reptile,blindworm,,,reptile
17,1,Premise Typicality,General,blackbird,,,bird,penguin,,,bird
18,1,Premise Typicality,General,viper,,,reptile,blindworm,,,reptile
19,1,Premise Typicality,General,lizard,,,reptile,monitor lizard,,,reptile
20,1,Premise Typicality,General,falcon,,,bird,penguin,,,bird
21,1,Premise Typicality,General,fly,,,insect,worm,,,insect
22,1,Premise Typicality,General,heron,,,bird,penguin,,,bird
23,1,Premise Typicality,General,sparrow,,,bird,penguin,,,bird
24,1,Premise Typicality,General,turkey,,,bird,penguin,,,bird
25,1,Premise Typicality,General,snake,,,reptile,monitor lizard,,,reptile
26,1,Premise Typicality,General,crocodile,,,reptile,gecko,,,reptile
27,1,Premise Typicality,General,salamander,,,reptile,monitor lizard,,,reptile
28,1,Premise Typicality,General,chameleon,,,reptile,blindworm,,,reptile
29,1,Premise Typicality,General,cobra,,,reptile,gecko,,,reptile
30,1,Premise Typicality,General,chickadee,,,bird,penguin,,,bird
31,1,Premise Typicality,General,iguana,,,reptile,gecko,,,reptile
32,1,Premise Typicality,General,horse,,,mammal,bat,,,mammal
33,1,Premise Typicality,General,herring,,,fish,squid,,,fish
34,1,Premise Typicality,General,parrot,,,bird,penguin,,,bird
35,1,Premise Typicality,General,mosquito,,,insect,worm,,,insect
36,1,Premise Typicality,General,alligator,,,reptile,monitor lizard,,,reptile
37,1,Premise Typicality,General,pike,,,fish,squid,,,fish
38,1,Premise Typicality,General,cod,,,fish,squid,,,fish
39,1,Premise Typicality,General,peacock,,,bird,penguin,,,bird
40,1,Premise Typicality,General,canary,,,bird,penguin,,,bird
41,1,Premise Typicality,General,llama,,,mammal,bat,,,mammal
42,1,Premise Typicality,General,chameleon,,,reptile,gecko,,,reptile
43,1,Premise Typicality,General,zebra,,,mammal,bat,,,mammal
44,1,Premise Typicality,General,boa,,,reptile,monitor lizard,,,reptile
45,1,Premise Typicality,General,donkey,,,mammal,bat,,,mammal
46,1,Premise Typicality,General,tiger,,,mammal,bat,,,mammal
47,1,Premise Typicality,General,owl,,,bird,penguin,,,bird
48,1,Premise Typicality,General,vulture,,,bird,penguin,,,bird
49,1,Premise Typicality,General,lizard,,,reptile,toad,,,reptile
50,1,Premise Typicality,General,fruit fly,,,insect,worm,,,insect
51,1,Premise Typicality,General,bee,,,insect,worm,,,insect
52,1,Premise Typicality,General,swan,,,bird,penguin,,,bird
53,1,Premise Typicality,General,bison,,,mammal,bat,,,mammal
54,1,Premise Typicality,General,horse,,,mammal,mouse,,,mammal
55,1,Premise Typicality,General,eagle,,,bird,penguin,,,bird
56,1,Premise Typicality,General,python,,,reptile,monitor lizard,,,reptile
57,1,Premise Typicality,General,snake,,,reptile,toad,,,reptile
58,1,Premise Typicality,General,crocodile,,,reptile,monitor lizard,,,reptile
59,1,Premise Typicality,General,salmon,,,fish,squid,,,fish
60,1,Premise Typicality,General,fly,,,insect,louse,,,insect
61,1,Premise Typicality,General,wasp,,,insect,worm,,,insect
62,1,Premise Typicality,General,trout,,,fish,piranha,,,fish
63,1,Premise Typicality,General,cow,,,mammal,bat,,,mammal
64,1,Premise Typicality,General,salamander,,,reptile,toad,,,reptile
65,1,Premise Typicality,General,wolf,,,mammal,bat,,,mammal
66,1,Premise Typicality,General,dog,,,mammal,bat,,,mammal
67,1,Premise Typicality,General,cobra,,,reptile,monitor lizard,,,reptile
68,1,Premise Typicality,General,iguana,,,reptile,monitor lizard,,,reptile
69,1,Premise Typicality,General,carp,,,fish,squid,,,fish
70,1,Premise Typicality,General,viper,,,reptile,monitor lizard,,,reptile
71,1,Premise Typicality,General,dragonfly,,,insect,worm,,,insect
72,1,Premise Typicality,General,fox,,,mammal,bat,,,mammal
73,1,Premise Typicality,General,trout,,,fish,goldfish,,,fish
74,1,Premise Typicality,General,sole,,,fish,squid,,,fish
75,1,Premise Typicality,General,fly,,,insect,ant,,,insect
76,1,Premise Typicality,General,lizard,,,reptile,caiman,,,reptile
77,1,Premise Typicality,General,zebra,,,mammal,mouse,,,mammal
78,1,Premise Typicality,General,horse,,,mammal,hedgehog,,,mammal
79,1,Premise Typicality,General,lizard,,,reptile,turtle,,,reptile
80,1,Premise Typicality,General,tortoise,,,reptile,blindworm,,,reptile
81,1,Premise Typicality,General,dinosaur,,,reptile,blindworm,,,reptile
82,1,Premise Typicality,General,bumblebee,,,insect,worm,,,insect
83,1,Premise Typicality,General,herring,,,fish,piranha,,,fish
84,1,Premise Typicality,General,snake,,,reptile,caiman,,,reptile
85,1,Premise Typicality,General,beetle,,,insect,worm,,,insect
86,1,Premise Typicality,General,donkey,,,mammal,mouse,,,mammal
87,1,Premise Typicality,General,snake,,,reptile,turtle,,,reptile
88,1,Premise Typicality,General,alligator,,,reptile,toad,,,reptile
89,1,Premise Typicality,General,salamander,,,reptile,caiman,,,reptile
90,1,Premise Typicality,General,herring,,,fish,goldfish,,,fish
91,1,Premise Typicality,General,turtle,,,reptile,blindworm,,,reptile
92,1,Premise Typicality,General,cod,,,fish,piranha,,,fish
93,1,Premise Typicality,General,salamander,,,reptile,turtle,,,reptile
94,1,Premise Typicality,General,llama,,,mammal,hedgehog,,,mammal
95,1,Premise Typicality,General,chameleon,,,reptile,monitor lizard,,,reptile
96,1,Premise Typicality,General,caiman,,,reptile,blindworm,,,reptile
97,1,Premise Typicality,General,magpie,,,bird,ostrich,,,bird
98,1,Premise Typicality,General,mosquito,,,insect,louse,,,insect
99,1,Premise Typicality,General,cat,,,mammal,bat,,,mammal
100,1,Premise Typicality,General,sheep,,,mammal,bat,,,mammal
101,1,Premise Typicality,General,zebra,,,mammal,hedgehog,,,mammal
102,1,Premise Typicality,General,lizard,,,reptile,frog,,,reptile
103,1,Premise Typicality,General,snake,,,reptile,dinosaur,,,reptile
104,1,Premise Typicality,General,pike,,,fish,goldfish,,,fish
105,1,Premise Typicality,General,snake,,,reptile,tortoise,,,reptile
106,1,Premise Typicality,General,mosquito,,,insect,spider,,,insect
107,1,Premise Typicality,General,frog,,,reptile,gecko,,,reptile
108,1,Premise Typicality,General,boa,,,reptile,toad,,,reptile
109,1,Premise Typicality,General,deer,,,mammal,mouse,,,mammal
110,1,Premise Typicality,General,llama,,,mammal,monkey,,,mammal
111,1,Premise Typicality,General,moth,,,insect,worm,,,insect
112,1,Premise Typicality,General,snake,,,reptile,frog,,,reptile
113,1,Premise Typicality,General,fly,,,insect,caterpillar,,,insect
114,1,Premise Typicality,General,salamander,,,reptile,tortoise,,,reptile
115,1,Premise Typicality,General,donkey,,,mammal,hedgehog,,,mammal
116,1,Premise Typicality,General,tiger,,,mammal,hedgehog,,,mammal
117,1,Premise Typicality,General,wood louse,,,insect,worm,,,insect
118,1,Premise Typicality,General,zebra,,,mammal,monkey,,,mammal
119,1,Premise Typicality,General,tortoise,,,reptile,gecko,,,reptile
120,1,Premise Typicality,General,salamander,,,reptile,frog,,,reptile
121,1,Premise Typicality,General,whale,,,fish,squid,,,fish
122,1,Premise Typicality,General,alligator,,,reptile,caiman,,,reptile
123,1,Premise Typicality,General,trout,,,fish,sperm whale,,,fish
124,1,Premise Typicality,General,donkey,,,mammal,monkey,,,mammal
125,1,Premise Typicality,General,alligator,,,reptile,turtle,,,reptile
126,1,Premise Typicality,General,dog,,,mammal,mouse,,,mammal
127,1,Premise Typicality,General,lion,,,mammal,hedgehog,,,mammal
128,1,Premise Typicality,General,herring,,,fish,swordfish,,,fish
129,1,Premise Typicality,General,turtle,,,reptile,gecko,,,reptile
130,1,Premise Typicality,General,fly,,,insect,cricket,,,insect
131,1,Premise Typicality,General,fox,,,mammal,mouse,,,mammal
132,1,Premise Typicality,General,toad,,,reptile,blindworm,,,reptile
133,1,Premise Typicality,General,fly,,,insect,cockroach,,,insect
134,1,Premise Typicality,General,fly,,,insect,flee,,,insect
135,1,Premise Typicality,General,ray,,,fish,squid,,,fish
136,1,Premise Typicality,General,caiman,,,reptile,gecko,,,reptile
137,1,Premise Typicality,General,stickleback,,,fish,squid,,,fish
138,1,Premise Typicality,General,fly,,,insect,leech,,,insect
